State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,10.27093596,0.076923077,1.365079365,1.088607595,2.448275862,4.916666667,0,345.2857143,8.142857143,0,1.5,0.5,2,0,0,0,8.089552239,0.571428571,1.789473684,0.925925926,2,6.75,0,602,13.93548387,1,3,1.75,6.5,2.75,0,233.5,10.75510204,0.25,0.8,1.166666667,1.933333333,5,0,318.5,0,0,0,0,0,0
Alaska,6.076923077,1,5.6,5.545454545,10.66666667,0,2,1,0,0,0,0,0,0,0,0,4,0,3.666666667,5.75,4,0,0,0,26,0,0,0,0,0,0,0,6.416666667,0,9.5,3.571428571,14,0,0,1,0,0,0,0,0,0
Arizona,5.2,1.157894737,4.069767442,5.494623656,9.787234043,10.52173913,1,0.633333333,5.75,2,0,6,2,0,0,0,4.102803738,1.4,3.666666667,4.029411765,6.684210526,13.2,0,0.285714286,4.735294118,2,3.888888889,4.5,19,4,0,0.333333333,6.04516129,0.818181818,4.255319149,6.826086957,11.82608696,10.92857143,1,1,0,0,0,0,0,0
Arkansas,3.218390805,6,1.676470588,4.826086957,4.368421053,3.5,0,20,2,0,1,2.5,4,1,0,0,2.8,0,0.733333333,3.222222222,11,2.666666667,0,0,5.714285714,0,0.666666667,10.5,11,6,0,0,3.244444444,2,3,5.6,2.5,4.333333333,0,14,0,0,0,0,0,0
California,10.51018974,6.967741935,9.774266366,10.20378151,16.2755102,16.75,1.9,11.60416667,11.18918919,6.666666667,6.4,10.72727273,39.5,35,0,0,9.367579909,3.423076923,8.674074074,9.02739726,15.69642857,14.21875,1.333333333,11.85,14.84768212,22.25,14.69565217,15.06382979,21.66666667,17.23076923,0,14.25,10.28481807,8.068965517,9.731404959,9.974264706,15.18803419,17.97826087,1.428571429,10.10714286,0,0,0,0,0,0
Colorado,5.841628959,2.454545455,4.505882353,6.141025641,12.07692308,9.666666667,0,1,7.2,0,6.5,2.666666667,0,0,0,0,5.518518519,1.8,3.774193548,5.586206897,10.63636364,17.33333333,0,1.5,5.5,1,2.769230769,11.5,17,4,0,1,6.100917431,3.4,5.564102564,6,11.92307692,7,0,0.75,0,0,0,0,0,0
Connecticut,6.517006803,4.5,4.844444444,5.526315789,9,14.84615385,0,49,10,0,0,8,0,10,0,0,5.109090909,0,4,3.68,7.6,9.666666667,0,0,8.409090909,3,5.5,8.833333333,7.5,0,0,16,6.941176471,4,4.84,6.48,11.63636364,14.5,0,0,0,0,0,0,0,0
Delaware,8.381818182,5,4.421052632,11.91666667,9.7,12.5,0,15,2.2,0,1.666666667,0,2,0,0,0,5.904761905,0,2.625,6.5,7,8.75,0,0,0,0,0,0,0,0,0,0,8.24137931,0,5.625,12.83333333,9,9.333333333,0,7,0,0,0,0,0,0
District of Columbia,11.46428571,0,9.222222222,15,18,11.5,0,8,0,0,0,0,0,0,0,0,7.375,0,6.666666667,7.666666667,15,0,0,5,16,0,13,35,0,5.5,0,0,11.6875,0,9.4,13.8,15.66666667,14,0,7,0,0,0,0,0,0
Florida,4.449515906,1.119047619,3.024390244,3.240310078,6.739583333,6.163265306,4,35.5483871,5.25,2.5,4,8.25,2.8,11,0,29,3.732510288,0.545454545,2.344444444,3.0375,5.636363636,4.35,0,30.88888889,8.815384615,1,5.304347826,6.75,13,15,0,200,4.13164557,1.28,3.03968254,2.653333333,6.604166667,6.36,1,29.75,0,0,0,0,0,0
