State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,9.004385965,2.090909091,2.764705882,3.959183673,7.173913043,6.684210526,1,24.45945946,7.666666667,0,0.666666667,0.5,0,0,0,0,7.870967742,7,3.416666667,2.294117647,4.6,3.875,0,32.92307692,16.32,1.333333333,7.5,4.375,14,11.5,0,59.83333333,8.22962963,2,2.125,5.409090909,8,7.666666667,0,17.81818182,0,0,0,0,0,0
Alaska,4.733333333,0.333333333,3.777777778,8.4,18.5,10.33333333,0,0,0,0,0,0,0,0,0,0,3.357142857,0,2,5.5,9,3.333333333,0,0,8.333333333,0,7,7,0,0,0,0,5.230769231,0,4.75,11.5,0,0,0,0,0,0,0,0,0,0
Arizona,5.512820513,1.4375,5.650793651,8.191176471,13.36842105,12.65217391,0,0.096153846,14.33333333,0,2.5,0,0,0,0,0,3.771929825,1.166666667,3.16,4.7,6.210526316,18,0,0.068965517,5.282051282,0.4,4,9.571428571,8.5,11,0,0.166666667,6.673076923,2.2,8.923076923,10.77419355,28.09090909,10.73333333,0,0.102941176,0,0,0,0,0,0
Arkansas,3.229166667,0.6,2.166666667,4.181818182,14.71428571,8.5,0,0.68,4.5,0,0,2,0,0,0,0,2.342857143,0,2.125,1.909090909,7.75,3.666666667,0,0.625,4.777777778,0,2.5,8,7,10,0,3,3.52,0.5,2,6.625,30.5,15,0,0.5625,0,0,0,0,0,0
California,12.01658604,8.166666667,16.21478873,19.59793814,23.03012048,18.15384615,2.625,3.278481013,11.78378378,1.25,26.4,13.1,18.2,16,1,5.7,10.34801762,6.444444444,12.72826087,14,17.2295082,15.26470588,1.5,3.470588235,18.71428571,21.25,23.08823529,33.92307692,37.3125,32,0,4.677966102,11.76113861,8.392857143,16.45098039,21.82068966,24.80952381,17.9787234,4,2.896551724,0,0,0,0,0,0
Colorado,6.570833333,2.076923077,10.17391304,16.54545455,19.28571429,10.26666667,0,0.017857143,10.75,1,17,0,0,0,0,0,5.458333333,1.857142857,5.666666667,11.25,18.57142857,14,0,0.028571429,7.24,0,7.571428571,14,15.33333333,26,0,0,7.208695652,1.8,22.27272727,22.69230769,20.18181818,6.9,0,0.015384615,0,0,0,0,0,0
Connecticut,7.019230769,15,10.54166667,12.74074074,12.91666667,22.55555556,0,0.478873239,6.8,0,2.5,0,12,4,0,1,6.490196078,6,8.625,15.57142857,7.454545455,11.33333333,0,0.555555556,15.84615385,0,24,24.33333333,15.33333333,38,0,2.75,6.022988506,0,10.91666667,8.823529412,18.88888889,93,0,0.25,0,0,0,0,0,0
Delaware,7.6875,1,6.444444444,8.076923077,18.25,11.28571429,0,6.818181818,2.333333333,0,0,1,3,0,0,0,6.176470588,3,4,5.6,17,22,0,5.2,81,0,0,0,0,16,0,0,6.518518519,0.333333333,6.4,8,18,8,0,5.166666667,0,0,0,0,0,0
District of Columbia,7.388888889,0,11.2,28.66666667,22,19.66666667,0,0.863636364,3,0,0,0,0,0,0,0,6.363636364,0,0,0,8.5,17,0,0.75,9.428571429,0,10,0,0,10,0,1,7.470588235,0,5.666666667,13.66666667,36,31,0,1,0,0,0,0,0,0
Florida,4.491784038,2.025641026,4.092511013,6.544973545,9.470588235,7.327868852,0.285714286,1.995594714,4.428571429,1,4.833333333,7.75,3.333333333,3,0,6.5,3.442906574,1.461538462,3.777777778,4.12345679,6.487804878,4.608695652,0.333333333,1.415384615,7.944444444,2.666666667,4.806451613,15.53333333,11.75,14,0,6.1875,4.477876106,2.263157895,4.039370079,7.179775281,12.61538462,8.366666667,0,1.729166667,0,0,0,0,0,0
Georgia,9.651851852,2.523809524,12.5,17.38356164,26.76190476,16,3.5,1.170886076,11,0,8.333333333,42,9.333333333,14.5,0,3.333333333,7.323529412,2.285714286,7.033333333,14.69565217,20.5,12,0,0.714285714,15.7173913,2.5,23.57142857,27.77777778,22,36.33333333,0,1.714285714,9.753554502,2.5,15.59375,15.975,38.1875,15.64705882,2.25,1.260869565,0,0,0,0,0,0
Hawaii,12.14285714,23,13.90909091,15.25,55,6,0.5,4,27,0,0,0,0,0,0,1,15,0,17,19.66666667,0,3,0,6,19.57142857,0,20.5,16.33333333,27,0,0,15,8.428571429,7,9.166666667,10.83333333,38,9,0.5,2.444444444,0,0,0,0,0,0
Idaho,3.037974684,0.666666667,3.444444444,6.384615385,6.1,35,0,0.064516129,2,0,4,0,1,0,0,0,3.36,0.75,2.142857143,5.833333333,8,0,0,0,3.714285714,0,4,7,6.5,0,0,0.333333333,2.8,0.5,4.333333333,6.666666667,6.6,16,0,0.045454545,0,0,0,0,0,0
Illinois,5.953101362,2.214285714,7.896226415,10.62280702,14.72307692,12.68181818,4.5,0.815217391,6.714285714,0,4.4,12,19,0,1,0.2,5.361386139,2.75,6.90625,8.487804878,11.85714286,8.148148148,2,0.957746479,8.539473684,2,9.058823529,12.93333333,18.875,13.8,0,1.952380952,5.715447154,2,8.461538462,11.51785714,15.37142857,15.4137931,7,0.642458101,0,0,0,0,0,0
Indiana,4.086687307,0.636363636,1.796296296,3.203703704,4.475,4.35483871,1.5,6.435114504,5.666666667,0,3,0.8,0,0,0,0,3.512820513,0.666666667,1.416666667,2.473684211,2.684210526,2.375,1,7.6,6.566666667,1,2.2,4.8,1.857142857,6,0,19.28571429,3.988235294,0.571428571,2.041666667,3.92,8,6.5,3,4.719101124,0,0,0,0,0,0
Iowa,3.886956522,2,5.473684211,9.75,8.916666667,11.875,2,0.090909091,10.5,0,4,0,0,5,0,0,3.266666667,1,4.222222222,6.428571429,5.428571429,14.5,0,0.105263158,5,0,0,4,3.333333333,8,0,0.333333333,3.948275862,1,4.777777778,15.16666667,27,13.25,2,0.090909091,0,0,0,0,0,0
Kansas,2.415662651,0.333333333,1.177777778,2,2.291666667,1.1,1,5.266666667,5,0,3,0,0,0,0,4,2.483333333,0.666666667,0.888888889,2.090909091,2.1,0.6,0,7.333333333,3.285714286,0,3,8,1.5,1.333333333,0,9.5,2.177777778,0,1.086956522,1.230769231,2.7,1.166666667,0,4.2,0,0,0,0,0,0
Kentucky,3.780346821,2.833333333,2.404255319,5.222222222,6.296296296,6.444444444,0,4.771929825,2.666666667,0,4,1,1,0,0,0,3.470588235,4.5,1.944444444,3.785714286,4.571428571,6,0,6.375,6.846153846,0,2.142857143,9.5,13,0,0,13,3.606741573,0.75,2.80952381,6.8,7.9,5,0,3.641025641,0,0,0,0,0,0
Louisiana,6.711790393,1.8,5.535714286,9.897959184,16.80769231,18.9375,3,0.348484848,17.66666667,1,0,9,0,0,0,0,5.772727273,2,4.714285714,6.764705882,12.1,19,0,0.352941176,10.88461538,0,6.1,18.8,15.4,51,0,1.4,6.119402985,1.6,5.25,10.32,20.45454545,15.45454545,1,0.227272727,0,0,0,0,0,0
Maine,1.626373626,0.5,2,1.952380952,5,4.5,0,0.473684211,1.333333333,0,2,0,0,0,0,0,1.757575758,0,1.75,3.2,4.25,3.5,0,0.307692308,1.8,0,2,1,2,0,0,1,1.511111111,0,2.285714286,1.692307692,7.5,3,0,0.523809524,0,0,0,0,0,0
Maryland,6.658402204,5.555555556,7.559322034,8.448717949,14.125,11.38461538,1.333333333,3.837037037,5.538461538,0,7,4.75,14,6,0,3.75,5.24,2,4.56,7.260869565,9.352941176,8.357142857,0,3.7,9.510638298,0,9.25,8.25,16.33333333,19.75,1,8.916666667,6.983146067,9,10.16666667,9.742857143,18.375,12.42105263,0.5,3.139240506,0,0,0,0,0,0
Massachusetts,7.357638889,6,9.125,9.034482759,12.57575758,15.88235294,4,3.904,11.33333333,0,16,7.5,15,5,0,19,6.79787234,4,5.894736842,6.772727273,12,14,4,4.870967742,8.513513514,5,9,8.444444444,7.833333333,36,0,7.090909091,7.264900662,9.5,12.05263158,11.36,14.92857143,16.11111111,0,2.926829268,0,0,0,0,0,0
