State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Indiana,4.262237762,0.166666667,1.342465753,2.06097561,2.615384615,3.9,2,25.41176471,12,0,4,4,1,0,0,0,3.884955752,0.333333333,1.586206897,1.64516129,2.043478261,3.583333333,0.333333333,25.58333333,5.586206897,1,9,1.636363636,1.142857143,8.5,0,25.2,4.071428571,0.428571429,0.65,2.461538462,3.80952381,3.25,0,23.47058824,0,0,0,0,0,0
Iowa,2.464285714,1,1.673913043,2.76,4.55,8.111111111,0,0.555555556,1.571428571,0,0,1.75,2,0,0,1,2.016393443,0.5,1.526315789,2.095238095,4.285714286,4.285714286,0,1.666666667,3.214285714,0,2,3,6,8,0,1,2.862068966,3.5,1.708333333,3.666666667,5,32,0,0.5,0,0,0,0,0,0
Kansas,2.554744526,0.111111111,0.487179487,0.142857143,0.736842105,0.066666667,0,69.66666667,0,0,1,0,0,0,0,0,2.134615385,0,0.75,0.117647059,0.5,0.857142857,0,142,2.866666667,0,1,0.333333333,2,0,0,54,3.161290323,0.333333333,0.238095238,0.111111111,0.375,0.75,0,54.75,0,0,0,0,0,0
Kentucky,2.274285714,0.666666667,1.295081967,1.738461538,3.666666667,2.636363636,0,121,2.285714286,0,1.25,0,0,0,0,0,2.583333333,0.5,2.333333333,1.727272727,3.545454545,0.8,0,0,2.65,2,0.777777778,4.75,3,12,0,0,1.977272727,1,0.833333333,1.473684211,4.5,3.25,0,53,0,0,0,0,0,0
Louisiana,7.1,7.8,3.827160494,8.321428571,9.41025641,17.86666667,3,11.33333333,10.6,0,4.666666667,21,0,0,0,0,5.796875,3.5,3.166666667,6.166666667,7.214285714,23,0,14,11.40909091,0,6.555555556,14,12.25,26.5,0,13,6.834862385,18,3.577777778,8.064516129,9.476190476,14.5,0,6,0,0,0,0,0,0
Maine,1.888888889,1,1.466666667,1.652173913,2.4,2.4,0,6.666666667,0,0,0,0,0,0,0,0,1.620689655,0,0.923076923,1.333333333,2.6,1.5,0,0,1.285714286,0,3,0.6,0,1,0,0,2.138888889,2,1.6875,2.444444444,2.8,3.5,0,3.333333333,0,0,0,0,0,0
Maryland,7.52293578,7.125,7.875,8.528089888,12.22222222,14.74193548,3,4.265625,20.5,0,0,21,8,0,0,0,5.669491525,6.333333333,7.259259259,5.4,7.80952381,8.5,0,4.65,10.11363636,4.5,8.5,9.9375,29.25,19.8,1,8.25,7.850931677,9,7.512195122,10.54054054,13.65384615,17.57142857,0,3.45,0,0,0,0,0,0
Massachusetts,6.622222222,4,3.545454545,4.111111111,7.56097561,11.52941176,0,38.25,22.5,0,9,0,15,0,0,0,5.760869565,1.666666667,2.852941176,2.967741935,5.823529412,16.6,0,89,11.2173913,6,6.625,6.625,9,13,0,0,6.241830065,5.333333333,3.428571429,4.274509804,8.388888889,9,0,22.64285714,0,0,0,0,0,0
Michigan,6.333333333,1.833333333,3.701612903,4.264900662,7.694444444,9.574468085,2,90.875,5.785714286,0,4.8,3.4,23,4.5,1,0,5.5,3.25,2.568181818,3.884615385,9.666666667,6.428571429,0,45.8,10.4047619,0.75,7,8.5,7.444444444,0,0,114,6.139013453,1.7,3.725806452,3.825,6.590909091,9.666666667,5,186.5,0,0,0,0,0,0
Minnesota,7.133333333,5,6.769230769,5.476744186,8.829268293,24.85714286,9,2.722222222,7.875,0,4.75,7.5,14,10,0,0,6.03030303,3.714285714,4.6,4.612903226,9,18.28571429,0,4.4,12.44,5,16,7.416666667,29.5,0,0,2.5,6.894308943,5.857142857,7.636363636,5.463414634,6.791666667,25.83333333,6,1.818181818,0,0,0,0,0,0
Mississippi,8.158415842,1.714285714,3.571428571,4.941176471,11.57142857,13.25,0.5,550,8.25,0,7,6,8,2,0,0,7.48,3,2.461538462,5.625,44,0,0,0,24.57142857,0,13,14,29,33,0,0,6.646153846,1.25,3.157894737,3.869565217,7.363636364,10.83333333,0,287,0,0,0,0,0,0
Missouri,3.492907801,0.375,1.17,2.688172043,2.770833333,4.346153846,0,96.4,1.272727273,0,0.666666667,1.5,1,5,0,0,3.170212766,0.5,1,2.678571429,2.375,3.222222222,0,82.5,5.205882353,4,2.25,4.888888889,4.714285714,4,1,0,3.468531469,1.666666667,1.14,2.403846154,2.681818182,5.25,1,81,0,0,0,0,0,0
Montana,3.727272727,0.25,5.875,3.058823529,12,3.666666667,0,0.6,0,0,0,0,0,0,0,0,4.6,1,3.75,3.8,13,9,0,1,3.4,0,0,2.333333333,0,0.5,0,0,3.041666667,0,5.5,2.777777778,9,3.333333333,0,0.5,0,0,0,0,0,0
Nebraska,2.272727273,2,2,2.15625,3.3,6.090909091,0,0.181818182,0,0,1,0,0,0,0,0,2.451612903,0.5,3.2,2.8,4.5,5.333333333,0,0.166666667,2,0,2,1.6,0,6,0,2,2.25,3.5,2.083333333,2,1.5,6.142857143,0,0.25,0,0,0,0,0,0
Nevada,2.78125,1.333333333,2.285714286,3.302325581,5.142857143,2.8,1,2.333333333,0.5,0,2,0,0,0,0,1,2.26,2,1.333333333,2.277777778,6.714285714,1.6,0,1.666666667,4.764705882,1,5.25,11.5,4.666666667,1,0,2,2.890909091,1.5,2.466666667,2.894736842,4.272727273,6.333333333,0,3.666666667,0,0,0,0,0,0
New Hampshire,2.791666667,1.5,1.851851852,2.052631579,3.5,5.5,0,5.3,1.25,0,1,1,3,0,0,2,3.045454545,0,1.5,4,1.5,16,0,5,3.375,0,2.666666667,0,6,2,0,4,2.684210526,0,2.153846154,1.142857143,4,4.333333333,0,6.75,0,0,0,0,0,0
New Jersey,7.695522388,3.214285714,5.101694915,6.889830508,13.11363636,18.45,0,37.0952381,17,0,7.666666667,22,0,16,0,0,8.168539326,1.666666667,6,8.642857143,10.375,16.83333333,0,44.2,11.34090909,4,9.714285714,7.444444444,15.42857143,73,0,76.5,6.431472081,4.333333333,3.767123288,5.845070423,13.28571429,14.91666667,0,27.21428571,0,0,0,0,0,0
New Mexico,5.043010753,1,5.375,5.28125,10.5,2.7,0,1,3.666666667,0,3,5,3,0,0,0,4.296296296,0.75,4.222222222,5.666666667,11,1,0,2,5.444444444,0,4.666666667,11.5,16,0.333333333,0,0,5.425925926,6,6.727272727,4.652173913,10.44444444,5.2,0,1.4,0,0,0,0,0,0
New York,9.744217687,8.318181818,9.293859649,8.811320755,11.74418605,22.78431373,5,12.54285714,9.043478261,3,6.6,9.142857143,18,36,0,0,8.899563319,8.285714286,8.746268657,8.036144578,9.860465116,16.4,5.5,20.14285714,17.75641026,16.5,18.27272727,15,20.42857143,75.33333333,0,14.71428571,8.718518519,7.818181818,8.255813953,7.95862069,10.88405797,21.18518519,2.666666667,8.476190476,0,0,0,0,0,0
North Carolina,5.851010101,1.5,3.912698413,5.887218045,9.698630137,11.61764706,2,8.777777778,8.5,0,9.5,6.8,6,0,0,0,5.516129032,0,4.297297297,5.904761905,9,7.428571429,2,0,8.872340426,2.5,5.388888889,8.357142857,23,21.66666667,0,9,5.260465116,2,3.15942029,5.333333333,8.428571429,12.58823529,0,4.714285714,0,0,0,0,0,0
North Dakota,3.575757576,0,1.166666667,1.25,9,5.5,0,18.33333333,0,0,0,0,0,0,0,0,2.9,0,2.333333333,0.25,9,0,0,9,5.5,0,0,1,0,1,0,0,3.523809524,0,0.777777778,2.285714286,8,10,0,26,0,0,0,0,0,0
Ohio,3.773722628,3.727272727,2.892215569,3.532258065,5.820754717,8.266666667,1,2.032258065,5.615384615,0,21,2.8,6,15,0,0,3.263959391,2.6,2.844827586,3,4.604651163,6.411764706,2,1.777777778,5.773584906,9,3.0625,8.384615385,7.928571429,5.714285714,0,7.5,3.670175439,6.333333333,2.695652174,3.288461538,6.311111111,10.4,1,1.45,0,0,0,0,0,0
Oklahoma,2.88172043,1.5,1.895522388,2.105263158,3.344827586,3.047619048,0,73.5,2.75,0,6,2,4,1,0,0,2.73015873,2.5,1.619047619,2.285714286,2.538461538,3.75,0,0,3.764705882,2,3.833333333,1.2,2.666666667,4.5,0,0,2.833333333,0.666666667,1.641025641,2.266666667,4.333333333,2.785714286,0,40.5,0,0,0,0,0,0
Oregon,3.436507937,3.25,3.372093023,4.027777778,3.84,4.75,0,0,2.5,0,0,0,0.5,0,0,0,2.564102564,2.5,3.2,1.388888889,3.5,0,0,0,10.125,0,31,7,0,3.5,0,1,3.226666667,3,2.53125,6.071428571,3.466666667,5,0,0.125,0,0,0,0,0,0
Pennsylvania,6.045722714,3,4.352657005,6.527777778,8.660714286,9.833333333,1.125,7.756756757,4.76,0,3.222222222,4.333333333,6.4,10.5,0,6.333333333,5.474137931,3.428571429,4.630769231,5.892307692,7.72972973,6.771428571,0.25,8.210526316,8.913580247,4,6,6.92,14.66666667,14.6,0,26.5,5.847058824,2.5,3.838095238,7.05952381,8.206896552,11.70967742,1.5,6.104166667,0,0,0,0,0,0
Puerto Rico,4.936170213,2.25,2.682926829,7.03125,8.846153846,15.66666667,1,0,10,0,3,0,0,0,0,0,4.529411765,0.666666667,1.05,8.875,19,0,0,0,0,0,0,0,0,0,0,0,4.050847458,5,3.2,5.083333333,4.7,7,1,0,0,0,0,0,0,0
Rhode Island,4.975609756,0,4.5625,3.8125,11.25,11.66666667,0,2,2,0,0,0,1,0,0,0,6.454545455,0,7,5.333333333,18,6.666666667,0,0,7.5,0,4.5,7,0,0,0,0,4.04,0,3.3,3.090909091,11,0,0,2,0,0,0,0,0,0
South Carolina,5.737430168,3.875,4.349206349,6.431034483,9.1875,16,0,5.333333333,9,0,9,7,0,0,0,0,5.31372549,8,3.722222222,5.210526316,8.571428571,11,0,11,9.761904762,2.5,6.285714286,15.33333333,21.66666667,10.66666667,0,0,5.076190476,2.75,4.162162162,5.46875,7.590909091,21.4,0,2.2,0,0,0,0,0,0
South Dakota,7.484848485,5,4.454545455,4.8,12.66666667,20.5,0,1,5,0,0,1,0,0,0,0,10.55555556,0,4.5,3.666666667,38,24,0,0,5.666666667,0,1,6,0,0,0,1,6.5,1,4.833333333,6.4,6.4,15.33333333,0,0,0,0,0,0,0,0
Tennessee,4.968965517,0.904761905,2.824742268,4.567010309,9.368421053,7.09375,2,87.66666667,3.5,1,3.333333333,2.333333333,16,2,0,0,4.803921569,1.111111111,3.310344828,3.96875,8.176470588,4.666666667,0,0,9.96,3,5.125,9.333333333,31,8.5,0,50,4.370860927,0.5,2.228070175,4.36,7.722222222,10.08333333,1.5,62.5,0,0,0,0,0,0
Texas,6.759047619,2.090909091,5.503267974,6.678977273,9.382352941,16.97468354,0.5,10.07692308,3.666666667,1.5,10,1.733333333,5,12,0,0,5.836477987,1.695652174,5.238636364,5.25,7.40625,18.13043478,0,7.416666667,8.807017544,6.4,5.948717949,9.727272727,13.34615385,12.27272727,0,0,7.013559322,1.777777778,5.460227273,7.369230769,9.798165138,17.79069767,0.25,9.111111111,0,0,0,0,0,0
Utah,2.603053435,0.076923077,2.106382979,1.847826087,5.944444444,11,0,0.5,7,1,0,0,0,0,0,0,2.529411765,4,1.590909091,2.294117647,4,13,0,2,2.909090909,0,2,2.333333333,12,0,0,0,2.544117647,0.5,2.619047619,1.461538462,6.444444444,7,0,1,0,0,0,0,0,0
Vermont,2.619047619,0,3,3.428571429,4,4,0,0.833333333,0,0,0,0,0,0,0,0,3.5,0,1,5,0,0,0,1.5,4,0,3,3,0,0,0,0,2,0,6,3,2.5,2,0,0.25,0,0,0,0,0,0
Virginia,7.75308642,5.444444444,4.333333333,6.422680412,8.580645161,10.78125,2,39.0952381,10.57142857,0,4.666666667,6.5,0,3,0,0,6.39047619,9.5,3.580645161,4.944444444,7.578947368,8,0,47.25,14.20588235,5,7.727272727,11,19.2,15,0,81.5,7.213483146,3.666666667,4.070175439,6.382978723,6.947368421,13.57142857,1,30.06666667,0,0,0,0,0,0
Washington,5.795652174,1.722222222,5.436619718,6.015625,9.714285714,12.8125,0,0.217391304,18,0,8,13,0,0,0,0,4.584269663,1.125,3.666666667,3.892857143,9.416666667,13.8,2,0.6,10.70588235,2,12.16666667,54,7.4,8.5,0,2,5.694214876,1.888888889,5.666666667,6.147058824,9.833333333,12.22222222,1,0.125,0,0,0,0,0,0
West Virginia,3.671232877,0.666666667,3.142857143,3.357142857,11.125,6.166666667,2,6,0,0,0,0,0,0,0,0,2.741935484,0,2.666666667,1.9,9.75,7,0,1,13,0,8,7.5,0,0,0,0,3.461538462,0.5,2.818181818,3.375,9,5.25,0,11,0,0,0,0,0,0
Wisconsin,4.214035088,3.714285714,3.855263158,3.245454545,7.311111111,8.694444444,0.666666667,1.8,8.166666667,0,4.5,4.5,0,12.5,0,0,3.008695652,2.5,2.388888889,2.511111111,5.333333333,8,0,3,5.931034483,1,10.25,3.545454545,10,12.5,0,3,4.696296296,4.25,4.617647059,3.769230769,7.666666667,7.888888889,0,0.666666667,0,0,0,0,0,0
Wyoming,4.952380952,0,7,3.2,26,7.5,0,0,0,0,0,0,0,0,0,0,6,0,0,2.333333333,9,7,0,0,2.5,0,4,2,0,1,0,0,5.363636364,1,4.25,4,0,0,0,1,0,0,0,0,0,0
