State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,8.185365854,0.615384615,0.514705882,0.466666667,0.083333333,1.727272727,1.5,153.7333333,13.75,0,1.5,1.5,0,0,0,0,7.216666667,0.333333333,0.894736842,0.578947368,0.222222222,3.25,1,117.2,18,2,2.4,1.625,2.666666667,0,0,0,6.950819672,0.375,0.071428571,0.225806452,0.208333333,0.428571429,0,121.3,0,0,0,0,0,0
Alaska,4.333333333,2,1.888888889,5.7,5.5,10,0,2,6,0,0,2,0,0,0,0,3.384615385,0,1.4,9,2.333333333,12,0,0,7,0,2,11,0,5,0,0,4.538461538,0,3.666666667,4.333333333,8,11,0,2,0,0,0,0,0,0
Arizona,3.94516129,1.642857143,3.416666667,6.457142857,9.361111111,7.272727273,0,0.178571429,2.5,0,1.166666667,0,4,0,0,1,3.193877551,1.166666667,3.913043478,4.172413793,5.384615385,5.714285714,0,0.05,5.666666667,3,3.375,7.25,38,7.5,0,0.25,4.188888889,1.857142857,3.468085106,8.121212121,10.71428571,7.692307692,0,0.203389831,0,0,0,0,0,0
Arkansas,2.152380952,3.333333333,1.72972973,2.216216216,3.833333333,2.714285714,0,7.333333333,6,0,0,0,6,0,0,0,1.775,3,0.9375,2.076923077,4,4,0,4,4,4,1,4.25,8,0,0,0,2.122807018,7,2.65,1.75,3.1,1.6,0,15,0,0,0,0,0,0
California,9.985272459,5.736111111,8.579381443,10.19469027,15.75280899,18.37037037,5,15.98837209,13.5862069,9.5,6.25,64,14,15.33333333,0,0,9.073459716,2.96875,8.126760563,9.423357664,13.67241379,15.5,0,16.24,14.37062937,31,12.4,12.54545455,41.33333333,13.8,2,49.8,9.531413613,5.885714286,8.180147059,9.686046512,14.80952381,22.88571429,4.666666667,11.89285714,0,0,0,0,0,0
Colorado,4.677290837,1.8,3.530612245,5.011235955,14.9,9.222222222,0,0.333333333,4.375,0,13,0.666666667,0,0,0,0,4.792682927,1.666666667,3.714285714,4.516129032,12.66666667,13,0,0.2,5.296296296,0.6,3.666666667,12.16666667,23,3.5,0,1,4.5,2.875,3.245614035,4.97826087,14.6,8,0,0.666666667,0,0,0,0,0,0
Connecticut,5.93129771,3.25,3.595744681,5.622222222,9.272727273,25,0,11.71428571,8.333333333,0,0,0,1,10,0,0,5.769230769,0,3,5.666666667,6.555555556,43,0,0,9.333333333,0,5.166666667,6,20.5,28,0,0,5.22972973,1.5,3.25,5.222222222,11.77777778,23,0,5.714285714,0,0,0,0,0,0
Delaware,8.056603774,4,5.176470588,7.058823529,11.5,22,1,55,4.333333333,0,5,2.5,0,0,0,0,6.25,0,4.666666667,6.6,4.5,17,0,0,11,0,6,10.5,0,26,2,7,9.217391304,2.5,5.375,7.625,24.5,24,1,0,0,0,0,0,0,0
District of Columbia,8.84375,0,11.5,13,12.8,7.6,0,1.8,6.5,0,0,6,2,0,0,0,4.636363636,0,4.75,10.5,10,5,0,2,53,0,0,0,0,9,0,0,9.166666667,0,13.5,10.66666667,14,9,0,0,0,0,0,0,0,0
Florida,2.716049383,1.029411765,1.555555556,1.986725664,2.371212121,3.911111111,4.5,39.44827586,2.631578947,1,1.875,3.666666667,1.8,6,0,0,2.267924528,0.333333333,1.257731959,1.7,1.933333333,2.363636364,3,42.125,4.405063291,0.8,2.1875,3.909090909,4.533333333,5.5,0,196,2.680327869,1.666666667,1.60483871,1.785123967,2.223880597,5.333333333,2,29.3,0,0,0,0,0,0
Georgia,6.507936508,2.318181818,5.141509434,5.292307692,9.338709677,11.86666667,1.333333333,23.76,22.6,0,10,41,0,0,0,22,6.23853211,1.875,4.464285714,5.081081081,10.42105263,8.545454545,0,30.8,10.82926829,6,8.916666667,8.3125,17.66666667,16.75,3,0,5.484304933,1.833333333,4.492063492,4.289473684,6.675675676,12.73333333,1,17.47368421,0,0,0,0,0,0
Hawaii,10.32142857,1.25,9.777777778,9.421052632,14.125,9.833333333,1,0,31,0,7,0,0,0,0,0,9.6,0,10.6,7.375,12.33333333,23,0,0,12.54545455,0,8,20,14.5,8,0,0,9.041666667,1,11.33333333,8.333333333,11.66666667,6,0,0,0,0,0,0,0,0
Idaho,2.109375,0.555555556,2.944444444,1.894736842,3.625,3.333333333,0,0.5,0.333333333,0,1,0,0,1,0,0,1.2,0.2,1.444444444,1,2.2,8,0,1,0.9,0.5,2,0.5,6,1,0,1,3.653846154,3.5,6.6,2.538461538,6.5,4,0,2,0,0,0,0,0,0
Illinois,5.640522876,3.916666667,4.320855615,5.374358974,8.085106383,13.29787234,3.75,9.590163934,11.72727273,0,4.4,8.2,25,0,0,0,5.588888889,5.333333333,3.587301587,5.86,8.103448276,15.09090909,1.5,9.421052632,7.779411765,12,5.85,5.62962963,9.076923077,55,3,23.75,5.065155807,2.588235294,4.474747475,4.973451327,7.490196078,9.441176471,9,7.789473684,0,0,0,0,0,0
Indiana,3.271812081,0.058823529,0.636363636,1.369230769,1.19047619,3,0,13.86567164,16,0,0,2,0,0,0,0,3.194444444,0.545454545,0.7,1.238095238,1.666666667,3,0,14.2173913,5.227272727,0.666666667,1.111111111,7,0,0,0,27,2.83030303,2,0.387755102,1.125,1.052631579,2,0,11.475,0,0,0,0,0,0
Iowa,3.027522936,1,3.032258065,3.225,6.714285714,7.3,0,0.555555556,6,0,4,4,0,0,0,0,3.026315789,1,3.25,2.933333333,3.375,17.5,0,1,6,0,3.333333333,7.333333333,8,12,0,0,2.540983607,2.666666667,2.842105263,2.80952381,10.6,3.428571429,0,0.5,0,0,0,0,0,0
Kansas,2.101449275,0.5,0.130434783,0.261904762,0.166666667,0.428571429,0,65,2.666666667,0,1,0,0.5,0,0,0,1.886792453,0,0.357142857,0.125,0.272727273,2.333333333,1,29.25,2.818181818,0,0,0,3,3,0,0,2.126760563,1.5,0,0.428571429,0.5,0.4,0,157,0,0,0,0,0,0
