State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,6.926940639,0.8,0.328767123,0.27027027,0.325581395,0.642857143,3,557.25,0,0,0,0,0,0,0,0,5.569230769,1,0.5,0.375,1,2.666666667,1,0,11.46428571,2,2.4,0.714285714,0.333333333,0.75,0,429,6.23015873,0.428571429,0.045454545,0.186046512,0.090909091,0.142857143,0,393,0,0,0,0,0,0
Alaska,4.481481481,0,1.727272727,9,5.4,13.5,0,0.5,0,0,0,0,0,0,0,0,4.555555556,0,1.4,0,2.333333333,0,0,0,11.5,0,1,0,9,0,0,0,3.25,0,2.2,3.8,10,5,0,0.666666667,0,0,0,0,0,0
Arizona,4.419607843,2.25,5.764705882,5.753424658,10.48275862,9.133333333,0,0.101265823,5.8,0,12,9,4,0,0,1,3.891891892,1.333333333,6.142857143,3.724137931,6.727272727,11.33333333,0,0.071428571,4.1,2,3.222222222,8.833333333,15.5,3.25,0,0.125,4.705479452,3,6.185185185,6.756756757,13,10.75,0,0.072727273,0,0,0,0,0,0
Arkansas,2.257142857,3,2,2.75,4.15,1.333333333,1,4.4,1.2,0,1,0,5,0,0,0,2.15,2,1.9,2.454545455,5.285714286,0.857142857,1,3,2.538461538,3,0,3,9,2,0,0,2.382978723,0,2.777777778,2.571428571,2.909090909,3,0,7,0,0,0,0,0,0
California,9.378301213,6.703125,8.097328244,9.380042463,13.435,18.01219512,4.166666667,23.77777778,8.777777778,2.714285714,6.6875,13.9,9.75,10.5,0,0,8.723255814,5.6,7.825503356,8.109677419,13.92857143,13.78125,2.25,26.35714286,12.82236842,10,10.90163934,14.56521739,15.04347826,27.42857143,2,48,9.100775194,7.428571429,7.734899329,9.046153846,13.12389381,20.56410256,11,17.88571429,0,0,0,0,0,0
Colorado,4.584070796,4,3.387096774,5.486486486,8.3,8.222222222,0,0.090909091,19.5,0,0,0,6.5,0,0,0,5.23880597,0,2.75,5.708333333,20,10.66666667,0,1,4.653846154,0.333333333,3.153846154,12,9.5,4,0,1,4.007633588,3.5,3.520833333,4.511111111,5.571428571,7.25,0,0.571428571,0,0,0,0,0,0
Connecticut,4.69375,3.666666667,4.578947368,3.436619718,6.75862069,15.1,0,8.222222222,9.666666667,0,0,5,0,11,0,0,4.666666667,0,4.454545455,2.818181818,9,16.66666667,0,3.4,8,0,4.666666667,10,6.666666667,0,0,17,3.978494624,1.666666667,4.095238095,3.227272727,5.75,9.833333333,0,14,0,0,0,0,0,0
Delaware,9.725,2.333333333,6.133333333,19.5,9.777777778,22.25,0,16,0,0,0,0,0,0,0,0,11.6,2,8.25,31,13,13.5,0,0,9.142857143,0,2.5,17,18,21,0,0,8.52173913,2,6.285714286,15.75,7.666666667,40,0,8.333333333,0,0,0,0,0,0
District of Columbia,7.27027027,0,9.6,7.533333333,10.8,12.33333333,2,2.666666667,12,0,0,0,4,0,0,0,6.375,0,11,7,4.5,10,0,0,7.571428571,0,18,8.333333333,0,5,0,3,7.238095238,0,7.571428571,6.888888889,16.5,0,1,0,0,0,0,0,0,0
Florida,2.757322176,0.631578947,1.712686567,1.99122807,3.090909091,5.114285714,1.75,32.38235294,3.235294118,2,6,1.111111111,3,0,0,28,2.864253394,0.333333333,1.651685393,2.209677419,2.465116279,4.714285714,0,64.4,3.637362637,0.5,1.7,3.111111111,9.75,3.6,4,46.5,2.469072165,0.68,1.62962963,1.715384615,2.631578947,5.5625,3,23.54166667,0,0,0,0,0,0
Georgia,5.334128878,1.541666667,3.734375,4.253731343,8.048387097,7.230769231,2,23.74193548,10.33333333,0,8,11,21,2,0,26,5.218487395,2.4,3.108108108,3.547619048,10.05555556,6.583333333,0,36.6,8.869565217,6.5,5.555555556,10.36363636,9.4,15,3,108,4.542857143,0.705882353,3.414285714,3.512820513,6.151515152,6.782608696,0,17.45833333,0,0,0,0,0,0
Hawaii,11.95744681,2,11,15.07692308,21.33333333,12.2,0,13.5,0,0,0,0,0,0,0,0,12.73333333,0,11,21.33333333,15,8.333333333,0,0,16,3,25,14.66666667,0,4,0,0,8.916666667,0,7.5,11.42857143,14.33333333,0,0,6,0,0,0,0,0,0
Idaho,1.586206897,0.25,2.4,0.833333333,3.25,6,0,1,0,0,0,0,0,0,0,0,0.678571429,1,1.125,0,3,3,0,0.333333333,2.25,0,5,1,0,0,0,3,2.56,1,4.4,1.833333333,2.5,7,0,0,0,0,0,0,0,0
Illinois,4.734756098,5.538461538,3.798029557,4.275700935,5.364341085,10.27083333,5.5,14.76595745,11.6,0,8,10,8,24,0,0,4.225352113,3.666666667,3.209677419,3.75,4.425531915,11.54545455,0,14.13333333,6.381578947,0,4.423076923,5.16,9.083333333,11.5,0,24,4.495798319,5.142857143,3.866071429,4.263157895,5.23880597,8.928571429,3,12.62962963,0,0,0,0,0,0
Indiana,2.777439024,0.117647059,0.488095238,0.872340426,1.085714286,1.96,0,12.65753425,4.75,0,1,2,0,0.5,0,0,2.928571429,0.454545455,0.586206897,0.633333333,2.545454545,1.2,0,15.66666667,3.387096774,3,1.1,1.363636364,1,2.5,0,26.75,2.485875706,1,0.255813953,0.816326531,0.666666667,2.818181818,0,9.5625,0,0,0,0,0,0
Iowa,2.112676056,0.75,2.421052632,3.378378378,3.068965517,6.3,3,0.130434783,8,0,3,0,0,0,0,0,2.244897959,0.5,1.647058824,3.818181818,2.909090909,14.5,0,0.333333333,2.571428571,0,1.4,23,1.5,4,3,0,1.871794872,3,3.6,2.16,3.125,4.5,0,0.142857143,0,0,0,0,0,0
Kansas,1.865079365,0.428571429,0.151515152,0.166666667,0.35,1,0,48.83333333,2.25,0,0.5,1,0,0,0,0,1.553191489,0.333333333,0.25,0,1,1.333333333,0,49.5,1.615384615,0,0.333333333,0.166666667,4,1.5,0,31,2.129032258,0.75,0,0.526315789,0.0625,0.25,0,49.66666667,0,0,0,0,0,0
Kentucky,0.942307692,2.4,1.237288136,2.222222222,2.681818182,2.666666667,0,10.6,2,0,3,0,0,0,0,0,0.095238095,1.5,1.095238095,0.9,2.111111111,1.5,0,10.33333333,5,0,1.75,10.5,0,12,0,5.5,1.111111111,5,1.125,2.739130435,1.916666667,2.25,0,11.8,0,0,0,0,0,0
Louisiana,5.511961722,9,3.797101449,4.820512821,9.766666667,9.476190476,0,13,7.5,0,6.5,5.333333333,15,0,0,0,3.913580247,7,2.807692308,3.034482759,6.538461538,6.75,0,7,7.193548387,0,5.375,5.5,11,15.66666667,1,10,6.230769231,9.5,4.03030303,6.058823529,12.7,9.7,2,32,0,0,0,0,0,0
Maine,2.823529412,0.5,2.055555556,2.6,0.625,1.666666667,0,12.6,2,0,1,0,2,0,0,0,2.117647059,0,1.333333333,1.833333333,4,0,0,13,2.75,0,2,5,0,0,0,2.666666667,3.416666667,0,2.666666667,2.428571429,0.6,2,0,40,0,0,0,0,0,0
Maryland,4.518867925,3.636363636,4.988764045,4.91,6.276923077,14.28571429,0,5.766666667,6.875,0,24,6,9.5,2,0,1,3.970588235,4,5.615384615,4.133333333,3.857142857,7.25,0,6.2,4.586956522,4,4.466666667,7.583333333,7.444444444,46,1,3.285714286,4.728395062,3.428571429,4.404255319,4.690909091,7.303030303,23.57142857,1,7.416666667,0,0,0,0,0,0
Massachusetts,4.992957746,4,2.367816092,2.300970874,3.861111111,8.636363636,6,19.97560976,3.9,0,1.25,3,2.333333333,0,0,0,4.841463415,0.333333333,2.739130435,1.965517241,2.636363636,9.2,4,23.1,9.291666667,1,2.083333333,6.8,12,1,0,75.5,4.523809524,0,2.375,2.075757576,3.95,9.8,0,14.31034483,0,0,0,0,0,0
Michigan,4.620041754,1.76,2.78125,3.661971831,5.829268293,8.674418605,2,27.47826087,5.076923077,0,8,8.5,8.5,1,0,0,3.715151515,3,1.540983607,2.901960784,5.076923077,11.3,0.5,22.88888889,8.659090909,0.8,8.636363636,7.928571429,7.125,12.2,0,103,4.486381323,2,2.729411765,3.253333333,5.913043478,7.84,2.5,24.07692308,0,0,0,0,0,0
Minnesota,4.24738676,4.75,3.833333333,3.202247191,5.666666667,13.46666667,0,3.324324324,10.5,1,17,11,6,0,0,0,3.289473684,4.333333333,2.65,1.976190476,5,14.4,0,4.555555556,6.933333333,2.5,6,5.666666667,23.5,18,0,3.5,4.273381295,9.5,4.068181818,3.783783784,4.583333333,11.25,0,2.75,0,0,0,0,0,0
Mississippi,4,4,1.510204082,2.4,5.833333333,4,1,576,9,0,2,0,0,0,0,0,1.738095238,0.5,1.375,0.0625,3.333333333,1,0,143,13,0,3.6,9,16,0,0,0,3.983870968,9,1.12,3.095238095,5,4.4,0,0,0,0,0,0,0,0
Missouri,2.833333333,1,1.24742268,2.121621622,1.644444444,2.4,0,33.14285714,2.222222222,0,0.666666667,2.333333333,3,1,0,15,2.694736842,0.5,1.28125,1.205882353,2.166666667,1.4,0,36.8,4.310344828,5,1.928571429,5.166666667,4.25,2.333333333,0,62,2.648854962,0.333333333,1.145833333,2.516129032,1,3.636363636,0,29,0,0,0,0,0,0
Montana,2.581395349,0.75,2.8,2.125,4.428571429,9.5,0,2,1.5,0,0,1,0,0,0,0,2.823529412,1,4.666666667,2.666666667,7,6,0,0.333333333,3.666666667,0,2.5,0,4,0,0,0,2.333333333,0.5,1.8,1.875,3.25,11,0,5,0,0,0,0,0,0
Nebraska,2.252873563,0,2.631578947,2.941176471,6.142857143,8,0,0.027777778,0,0,0,0,0,0,0,0,2.387096774,0,1.666666667,1.909090909,17,5,0,0.5,1.9,0,0.666666667,6,0,4,0,0.5,2.108695652,0,4.714285714,4.25,3,11.33333333,0,0.076923077,0,0,0,0,0,0
Nevada,3.452380952,1.5,3.310344828,4.558823529,4.833333333,4.833333333,0,2,2.333333333,0,6,3,0,0,0,0,4.083333333,0.5,3.375,5.444444444,10.66666667,2,0,0,17.33333333,0,14,29,3,0,0,0,2.462962963,0,2.578947368,3.227272727,3,4.75,0,4,0,0,0,0,0,0
New Hampshire,3.796296296,6,2.117647059,1.823529412,3.125,2,0,15.85714286,0,0,0,0,0,0,0,0,3.052631579,0,2.2,0.75,1.5,5,0,18.5,3.625,0,0.333333333,2.333333333,3,0,0,0,3.962962963,6,2.666666667,2.5,3.5,1.5,0,10.8,0,0,0,0,0,0
New Jersey,5.524271845,2.714285714,3.762295082,3.397163121,4.972222222,8.384615385,0,37.02272727,5.545454545,0,6,5,1.8,8,0,0,5.193548387,0,4.157894737,4.114285714,3.666666667,5.636363636,0,35.30769231,12.92105263,2.5,6.4375,5.2,23,46,0,0,4.518828452,2.4,2.818181818,2.75,4.388888889,7.846153846,0,25.93548387,0,0,0,0,0,0
New Mexico,3.9375,0.333333333,3.625,6.555555556,7.266666667,2.285714286,0,1.6,7,0,2,0,0,0,0,0,2.25,4,2.916666667,2.3,5.333333333,0,0,0.333333333,2,1,0.8,0,9,0,0,2,5.837837838,4,5.357142857,9.5,7.875,3.6,0,5,0,0,0,0,0,0
New York,7.100662252,7.166666667,6.815789474,7.942982456,9.726495726,18.85365854,2.25,7.296296296,10.64285714,0,12.5,9.8,12,0,0,20,6.733944954,3.375,5.658536585,9.15,9.264705882,13.73333333,8,7.944444444,12.9125,7.25,15.82608696,13.69565217,13.3125,51.66666667,4,11.6,6.119638826,11.33333333,5.870967742,6.414285714,9.015384615,17,2,6,0,0,0,0,0,0
North Carolina,5.378787879,1.708333333,4.408333333,5.447154472,7.561643836,11.28571429,2,12.05555556,5.538461538,2,5.666666667,3.428571429,0,8,0,0,6.153153153,0.636363636,6.555555556,6.714285714,7.9,8.8,0,21,7.23255814,16,5.538461538,5.75,11.75,14.33333333,0,0,4.64628821,1.454545455,3.415584416,4.907692308,6.355555556,13.6,5,7.066666667,0,0,0,0,0,0
North Dakota,2.757575758,2,2.333333333,0.833333333,7.333333333,12,0,4.4,0,0,0,0,0,0,0,0,2.769230769,0,3,0.2,10,0,0,4,1.571428571,0,0,0.5,1,0,0,10,3.666666667,0,5,2.4,0,7,0,3.4,0,0,0,0,0,0
Ohio,3.436131387,2.352941176,2.790322581,3.425287356,6.244186047,5.648148148,1.5,3.655172414,7.818181818,0,4.2,20,28,4,0,0,3.056701031,1.875,3.098360656,3.6,3.875,4.047619048,0,3.111111111,6.130434783,8,3.8125,5.235294118,22,6.285714286,0,24,3.104377104,2,2.384615385,2.861386139,6.487804878,7.130434783,1,2.421052632,0,0,0,0,0,0
Oklahoma,3.577464789,0.777777778,3.304347826,3.1875,4.545454545,11.5,0,4.333333333,0.6,0,1.5,1,0,2,0,0,3.956521739,2.5,2.333333333,4.3125,10.5,10.5,0,3,5.461538462,0,7,2.166666667,3,0,0,0,3.230769231,0.166666667,3.590909091,2.88,3.266666667,9.8,0,4.4,0,0,0,0,0,0
Oregon,3.081818182,3,2.56097561,2.487804878,4.083333333,2.571428571,0,12,1.666666667,0,1,0,0,1,0,0,2.119047619,1,1.375,1.928571429,4.25,0.75,0,10,5.909090909,2,3.428571429,5.666666667,0,0,0,0,3.333333333,7,3.529411765,2.208333333,3.285714286,6,0,10.33333333,0,0,0,0,0,0
Pennsylvania,5.064275037,3.05,3.766055046,4.994791667,7.546391753,8,3,9.962025316,9.538461538,0,11.66666667,4.4,13.5,9,0,35,4.5,3.333333333,3.164383562,5.483870968,7.733333333,3.862068966,1.5,10.95238095,6.988235294,6,6.230769231,3.696969697,13.4,11.5,0,24.8,4.791304348,2.6,3.387931034,5.163043478,6.163636364,12.61111111,5,7.653846154,0,0,0,0,0,0
Puerto Rico,3.622641509,2,3.052631579,4.825,6.285714286,4.142857143,0,0,1.333333333,0,1,0,0,0,0,0,3.575757576,5,1.333333333,5,40,3.666666667,0,1,5.333333333,0,4.75,8,5,0,0,0,3.508196721,1.25,4.411764706,4.541666667,3.181818182,3.25,0,2,0,0,0,0,0,0
Rhode Island,4.388888889,0.5,6.111111111,1.666666667,4.4,30,1,15,5,0,0,1,0,0,0,0,5.888888889,0,13,0,11,13,0,0,15,0,4,0,0,0,0,13,2.916666667,0.5,3.666666667,2,2,0,0,10,0,0,0,0,0,0
South Carolina,4.377777778,4.444444444,3.409090909,7.452380952,9.083333333,9.8125,0,1.545454545,3.25,0,10,0,1.5,0,0,2,3.728813559,3.25,2.541666667,5.714285714,11.2,4.857142857,0,2.5,9.352941176,0,3.444444444,18.75,11.5,0,0,0,3.96,3.8,3.84375,6.375,9.153846154,8.222222222,0,0.941176471,0,0,0,0,0,0
South Dakota,4.428571429,0,3.666666667,2.25,11.2,58,0,0.75,1,0,1,0,0,0,0,0,4.428571429,0,3,0.428571429,28,22,0,1,9,0,0.5,0,0,0,0,0,4.294117647,0,10.5,4.75,4.75,0,0,0.857142857,0,0,0,0,0,0
Tennessee,4.249011858,1,1.881188119,4.029850746,6.666666667,3.4,2,35.78571429,4.7,0,2,0.25,11,0,0,27,3.806818182,1,1.575757576,3.2,6.583333333,3,0,50,6.24137931,1.5,2.142857143,10,12.33333333,2.75,0,0,4.063492063,0,2,4.09375,5.470588235,3.615384615,2,24.8,0,0,0,0,0,0
Texas,4.552532833,2.166666667,4.005847953,4.49132948,6.57591623,12.11428571,15,9,2,0,1.857142857,1,1.5,10,0,0,4.667785235,1.466666667,4.448275862,4.064814815,7.361702128,11.69565217,0,9.055555556,6.255319149,4.714285714,4.65625,7.48,12.75,8.8,0,16.25,4.344086022,2.041666667,3.866028708,4.404761905,5.579365079,13.45714286,11,8.065217391,0,0,0,0,0,0
