State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,10.735,3.2,3.12195122,4.175,7.8,5.4,1,28.53424658,10.2,0,0,0,2,0.666666667,0,57,8.307692308,3,3.066666667,1.722222222,8,4.857142857,0,28.22222222,14.2,2,6.25,4.857142857,7.75,9.5,0,36.72727273,11.3,4,2.409090909,6.733333333,8.3,6.625,0,25.90697674,0,0,0,0,0,0
Alaska,4.65625,1,7.25,3.615384615,0,17,0,0.181818182,1,0,0,0,0,0,0,0,3.285714286,0,7,1.857142857,0,11,0,0,14.5,0,0,0,0,6,0,1,4.866666667,2,6,4,0,0,0,0.2,0,0,0,0,0,0
Arizona,6.208029197,1.375,5.721311475,9.338709677,27.11111111,15.72222222,2,0.12244898,4,0,2.5,2.666666667,6,0,0,0,5.066666667,1.666666667,3.185185185,7.238095238,20.33333333,22.5,0,0.153846154,7.88,1,7,12.6,64,14.5,0,0.125,6.765100671,1,8.307692308,11.6,32.22222222,13.08333333,1,0.109375,0,0,0,0,0,0
Arkansas,3.268817204,3,2.863636364,4,7.636363636,4.333333333,0,1.35,2.25,0,0,1,4,0,0,0,2.965517241,0,1.777777778,3.2,12,2.666666667,0,1.8,6.571428571,0,1.75,9.5,0,0,0,4,3.075471698,1,4.444444444,4.230769231,6,4.4,0,0.928571429,0,0,0,0,0,0
California,11.29604823,9.254901961,15.0990099,18.18481848,23.80519481,16.34653465,2.181818182,3.187719298,9.844444444,2.8,11.33333333,16.25,12.28571429,7.2,0,7.625,9.793176972,7.333333333,11.22429907,14.98979592,16.67213115,15.23529412,1,3.268456376,15.89156627,15.5,21,21.075,46.75,24.7,0,4.758064516,11.30504305,10.2,16.77027027,19.54140127,27.05405405,16.34615385,2.333333333,2.774928775,0,0,0,0,0,0
Colorado,7.118721461,3,8.089285714,12.93023256,36.54545455,16.33333333,0.333333333,0.04494382,8,0,5,6.5,0,0,0,0,7.333333333,3.333333333,8.111111111,10.38888889,33.25,29,1,0.076923077,8.65,0,7.666666667,8.857142857,49,18,0,0,6.704918033,2,8.482758621,18.375,35.5,11.16666667,0,0.034482759,0,0,0,0,0,0
Connecticut,7.421768707,1.3,9.884615385,12.61538462,43.71428571,111.5,1,0.52,16.5,0,0,0,3.5,0,0,0,6.254901961,2,6.9,11.375,28.33333333,37,1,0.48,15.92307692,5,44,11.16666667,57,0,0,3,6.567901235,0.571428571,9.2,13,157,0,0,0.304347826,0,0,0,0,0,0
Delaware,7.150943396,0.75,10,6,10.85714286,11.25,0,7.111111111,8,0,0,2,0,0,0,0,4.391304348,2,4.666666667,3.111111111,8,4,0,12,11.42857143,0,0,26,10,0,0,3.666666667,8.636363636,0.5,11.66666667,7.25,13.33333333,20.5,0,7,0,0,0,0,0,0
District of Columbia,9.653846154,4.333333333,13.75,23.25,20.66666667,48,0,1.4,2.5,1,1,0,0,0,0,0,19,0,16,0,13,0,0,5,9.333333333,0,16,12.5,11,9,0,4,8.866666667,4.5,22,24,38,0,0,0.5,0,0,0,0,0,0
Florida,4.725641026,1.871794872,4.46039604,5.973958333,9.876404494,8.32,1,2.980582524,6.4,0,3.666666667,4.714285714,20,0,0,14,3.5625,1.066666667,3.420289855,4.319444444,7.875,4.904761905,0,2.064516129,9.7,2,7.578947368,11.83333333,20.5,13.33333333,0,9.769230769,4.591016548,2.444444444,4.62037037,6.210526316,9.229166667,9.52173913,1,2.653846154,0,0,0,0,0,0
