State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,8.0041841,2.428571429,2.0625,4.707317073,8.454545455,6.333333333,0.5,18.4,5.25,0,0.666666667,0,0,0,0,0,5.75,3.5,1.666666667,2.470588235,6.222222222,2.857142857,0,15.91304348,14.875,2,3.666666667,12,14,8.333333333,0,36.75,8.20610687,2,2.147058824,5.75,9,8.375,0,16.40740741,0,0,0,0,0,0
Alaska,3.292682927,0.75,2.8,7.666666667,4.857142857,6.75,0,0,0.333333333,0,0,0,0,0,0,0,2.625,0.333333333,1.166666667,10,8,4,0,0,7,0,0,0,2.5,3,0,0,3.736842105,2,5.333333333,9,4,16,0,0,0,0,0,0,0,0
Arizona,4.569444444,1.764705882,4.455696203,7.676923077,11.34090909,5.723404255,0,0.066037736,7.833333333,0,0,3,0,0,0,0,3.798165138,2.25,2.514285714,6.823529412,8.533333333,4.8125,0,0,7.407407407,3,11,10.5,10.16666667,9.666666667,0,0.142857143,4.513761468,1.25,5.275,8.105263158,12.82608696,5.535714286,0,0.08,0,0,0,0,0,0
Arkansas,4.033333333,0.5,3.136363636,5.35,9.4,16.66666667,0,0.227272727,2.333333333,0.5,0,0,0,0,0,0,3,0,3,2.111111111,6,14,0,0.4,4.75,0.5,2,6.666666667,16,0,0,0,4.608695652,1,4.1,8,10.875,12.5,0,0.1875,0,0,0,0,0,0
California,12.41324042,8.62,15.40878378,21.2,22.11235955,15.68932039,3.833333333,3.654648956,10.63414634,12,8.8,16.125,44,8.333333333,1,5.272727273,10.44588745,8.133333333,11.43269231,16.54736842,13.48101266,13.52777778,8,3.803030303,18.49019608,17.5,19,27.6969697,36.76470588,18.53846154,0,6.644444444,12.4801027,7.566666667,18.09558824,23.1294964,26.975,16.92156863,3.25,3.147492625,0,0,0,0,0,0
Colorado,5.779411765,5.333333333,10.39534884,11.76595745,41.6,11.58333333,0,0.01986755,13,0,8.5,0,9,0,0,0,5.43877551,6,10.53333333,8.476190476,36,5.571428571,0,0.065217391,7.541666667,0,8.333333333,29,40,0,0,0,5.571428571,3.333333333,11.1,12.70833333,55.75,13.4,0,0,0,0,0,0,0,0
Connecticut,6.099415205,20,8.961538462,13.375,18.375,15,0,0.307692308,30,0,0,0,8,0,0,0,5.365384615,0,9.333333333,13.42857143,7.333333333,11.4,0,0.36,11.33333333,0,14.66666667,17.5,54,34,0,0.888888889,5.3,6,7.529411765,11.30769231,33.2,13.85714286,0,0.192982456,0,0,0,0,0,0
Delaware,4.592105263,2,2.952380952,6.071428571,8.75,4.928571429,0,4.625,2.333333333,0,1,0,3,0,0,1,4.52173913,1,3.166666667,6.666666667,5.5,4.2,0,8.666666667,7.1,0,5,6,15,4,0,16,4.175,1,2.666666667,5.75,15,5.833333333,0,2.818181818,0,0,0,0,0,0
District of Columbia,9.448275862,6,59,15.16666667,15.75,26,0,1.571428571,3,0,0,1,0,0,0,0,7.125,0,0,15,0,0,0,0.857142857,13,0,18,0,11,10,0,1,9.933333333,4,0,11.25,13.33333333,27,0,2.6,0,0,0,0,0,0
Florida,4.772311213,3.185185185,5.616216216,6.229357798,9.4375,6.916666667,0.4,1.376470588,5.105263158,2,5,5.571428571,4.2,0,0,8,3.813333333,3,4.553846154,4.305882353,7.261904762,4.875,0.5,1.040540541,8.566666667,3,9.5,9.44,17,15.71428571,0,3.434782609,4.643010753,3.461538462,5.639175258,7.099009901,9.943396226,6.463414634,0,1.191082803,0,0,0,0,0,0
