State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,11.06818182,0.5,0.753846154,1.02,1,3.75,0,491.8,31,0,0,0,1,0,0,0,8.877192982,0.2,1,1.230769231,0.833333333,7.5,0,154.75,27.92857143,4,2.6,3.6,9.5,7,0,0,9.601941748,0.25,0.307692308,0.5625,0.388888889,1.6,0,1300,0,0,0,0,0,0
Alaska,3.789473684,4,1.615384615,4.357142857,6.75,6.2,0,2,0.5,0,1,0,1,0,0,0,4.076923077,0,2,7.333333333,8,4.333333333,0,0,11,0,3,0,8,0,0,0,3.526315789,3,2.166666667,2.888888889,10,7,0,0,0,0,0,0,0,0
Arizona,5.024561404,3,4.0625,5.779069767,9.642857143,11.38888889,0,0.38,1.8,0,3.5,2.5,0.5,4,0,1,4.540229885,1.333333333,3.666666667,5.071428571,9.3,13,0,0.272727273,7,0,3.777777778,19.33333333,9,8,0,0.333333333,5.210843373,4,4.404761905,5.509433962,11.52173913,12,0,0.4,0,0,0,0,0,0
Arkansas,2.099099099,3,1.25,3.1,3.6,2,0,3.333333333,2,0,1.5,0,6,0,0,0,2.264705882,0.5,0.642857143,3.555555556,9.666666667,2.333333333,0,3.5,2.909090909,5,0,3.4,4.5,0,0,0,1.873015873,6,2.095238095,2.5625,2,1.285714286,0,3.5,0,0,0,0,0,0
California,10.36343773,7.050847458,9.53440367,10.6636971,14.3923445,15.52525253,2.375,13.2920354,10.46153846,17,7.6875,9.615384615,23.66666667,8.8,0,57,8.975225225,5.777777778,7.907801418,9.081081081,12.79104478,11.25,5,14.62068966,14.63013699,8.6,15.85714286,14.04,17.25,27.25,2,24.09090909,10.34946237,6.966666667,9.506329114,10.99579832,14.48695652,17.93478261,1.5,10.5,0,0,0,0,0,0
Colorado,5.990147783,3.571428571,4.519480519,5.909090909,11.74074074,11.33333333,0,1,5.8,0,3.666666667,5,9,0,0,0,5.633802817,1.666666667,3.35483871,5.92,12.66666667,20,0,2,6.083333333,2,4.333333333,7.888888889,8,7,0,0,6.223300971,6,5.705882353,5.5,12.46153846,8.166666667,0,0.8,0,0,0,0,0,0
Connecticut,6.842519685,5,4.0625,6.239130435,11.33333333,28.66666667,0,15.25,11,0,0,2.5,0,0,0,0,6.139534884,0,2.736842105,5.533333333,10.28571429,58,0,16,10.4375,0,6.4,10,13,32,0,17,6.303030303,3,4.25,6.208333333,11.6,17.5,0,13.5,0,0,0,0,0,0
Delaware,6.966666667,5,4.166666667,6.045454545,10.11111111,20.8,2,13.25,8,0,0,3,0,0,0,0,5.6,0,3.2,4,5.5,0,0,9.5,15.8,0,11,7,21,0,0,0,6.441176471,3,3.583333333,8.111111111,13,8.8,1,12,0,0,0,0,0,0
District of Columbia,10.71428571,0,17.4,12,74,13,0,1.555555556,10,0,0,6,0,0,0,0,7.714285714,0,10,10.5,13,8,0,5,0,0,0,0,0,0,0,0,8.9,0,16.66666667,9.428571429,0,11,0,0.25,0,0,0,0,0,0
Florida,3.42972973,1.387096774,1.76618705,2.29787234,3.888888889,3.473684211,2.25,50.81481481,3.947368421,0,2,4.5,3.5,1.75,0,0,2.987755102,0.307692308,1.535353535,2.454545455,2.846153846,2.944444444,1.5,47.625,5.434210526,1,2.225806452,6.625,8.666666667,2.083333333,1.5,227,3.295,2.461538462,1.81294964,1.704697987,3.862068966,4.913043478,0,40.22222222,0,0,0,0,0,0
