state_name,zip_code,latitude,longitude
Alaska,99742,63.777201,-171.72571
Alaska,99825,58.050105,-135.512547
Alaska,99645,61.566706,-149.223038
Alaska,99654,61.566706,-149.223038
Alaska,99588,61.848187,-147.77252
Alaska,99674,61.848187,-147.77252
Alaska,99588,62.146581,-145.800479
Alaska,99709,64.954697,-148.005273
Alaska,99712,64.954697,-148.005273
Alaska,99762,64.563667,-163.001003
Alaska,99589,59.128713,-161.575656
Alaska,99590,62.895443,-160.111792
Alaska,99586,62.215183,-145.444886
Alaska,99588,62.215183,-145.444886
Alaska,99826,58.422404,-135.763035
Alaska,99827,59.260868,-135.472371
Alaska,,59.098404,-135.575791
Alaska,99603,59.573672,-151.224192
Alaska,99556,59.910403,-151.608204
Alaska,99639,59.910403,-151.608204
Alaska,99714,64.384498,-146.553512
Alaska,99743,63.959806,-148.97048
Alaska,99755,63.959806,-148.97048
Alaska,99760,63.959806,-148.97048
Alaska,99706,64.010457,-144.678658
Alaska,99820,57.461822,-133.315609
Alaska,99921,55.51849,-132.744792
Alaska,99602,62.187014,-159.856076
Alaska,99603,59.639985,-151.511234
Alaska,99825,58.11082,-135.425471
Alaska,99829,58.11082,-135.425471
Alaska,,58.253462,-136.320731
Alaska,99604,61.535469,-166.121735
Alaska,99605,60.886124,-149.632991
Alaska,99652,61.616515,-149.771769
Alaska,99654,61.616515,-149.771769
Alaska,99688,61.616515,-149.771769
Alaska,99694,61.616515,-149.771769
Alaska,99745,66.044722,-154.237175
Alaska,99746,65.70697,-156.305807
Alaska,99922,55.20412,-132.818341
Alaska,99923,55.983313,-130.041842
Alaska,,55.957767,-130.185754
Alaska,99613,59.305274,-155.867323
Alaska,99606,59.779038,-154.875279
Alaska,99695,55.918199,-159.493298
Alaska,99801,58.3727,-134.178781
Alaska,99824,58.3727,-134.178781
Alaska,,58.643523,-134.281167
Alaska,99603,59.674154,-151.437368
Alaska,99830,56.977698,-133.904393
Alaska,99833,56.977698,-133.904393
Alaska,99747,70.121207,-143.629531
Alaska,99610,60.453387,-151.220314
Alaska,99611,60.453387,-151.220314
Alaska,99669,60.453387,-151.220314
Alaska,99748,64.313823,-158.779727
Alaska,99615,57.590376,-154.364949
Alaska,99919,55.5561,-132.399388
Alaska,99609,60.864056,-162.537863
Alaska,99610,60.322083,-151.229246
Alaska,99669,60.322083,-151.229246
Alaska,99611,60.562274,-151.207971
Alaska,,60.366668,-152.322283
Alaska,99573,61.627171,-144.862976
Alaska,99901,55.357695,-131.674712
Alaska,,55.449938,-131.106685
Alaska,99749,66.971322,-160.437625
Alaska,99612,55.080062,-162.321376
Alaska,99613,58.736337,-156.525586
Alaska,99633,58.736337,-156.525586
Alaska,99614,59.94013,-164.067409
Alaska,99750,67.728579,-164.539688
Alaska,99925,55.556339,-133.087741
Alaska,99827,59.398162,-135.889507
Alaska,,59.399766,-135.886877
Alaska,99645,61.46161,-149.008218
Alaska,99654,61.49716,-149.654505
Alaska,99751,66.924092,-156.904679
Alaska,99615,57.792317,-152.404007
Alaska,,57.7044,-153.918372
Alaska,99615,57.76795,-152.595907
Alaska,99606,59.413337,-154.747452
Alaska,99576,59.69658,-157.224952
