State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,10.66292135,2.428571429,4.615384615,6.677419355,8.72,6.2,0,21.10294118,8,0,0,0.666666667,0,0,0,0,7.813559322,1.25,3.857142857,5.3,6.7,2.714285714,0,16.0952381,23.5,3,8.333333333,12.33333333,19,6.5,0,144.5,10.37,4.5,4.25,7.666666667,8.384615385,8.444444444,0,17.57777778,0,0,0,0,0,0
Alaska,4.571428571,2,4.8,22,5.333333333,5.4,0,0,1,0,0,0,1,0,0,0,4.090909091,0,3,15,7.5,8,0,0,9.5,0,5,0,0,0,0,0,4.5,1,6.5,22,4.333333333,3.75,0,0,0,0,0,0,0,0
Arizona,5.741134752,1.333333333,4.708333333,9.64,14.05555556,14.55555556,0,0.113636364,3.8,3,2,0,4,0,0,0.333333333,4.505376344,1,4.888888889,5.260869565,9.928571429,10.83333333,0,0.08,7.92,4,5.375,19.33333333,20,10.66666667,0,0.142857143,6.25974026,1.111111111,4.697674419,12.20833333,18.4375,17.66666667,0,0.113207547,0,0,0,0,0,0
Arkansas,5.597222222,1.5,3.409090909,7.5625,13.09090909,14.25,0,0.529411765,0,0,0,0,0,0,0,0,2.727272727,0,1.444444444,2.857142857,4.857142857,20,0,0.571428571,7.375,0,2.25,0,20,8,0,0,7.935483871,0,5.777777778,8.444444444,29.33333333,14,0,0.625,0,0,0,0,0,0
California,16.39111111,9.52173913,20.13973799,25.13807531,32.11811024,20.59259259,4,5.0302267,18.95833333,5.5,34,27.4,11.25,27,0,15,13.66939891,6.473684211,16.70422535,19.19277108,29.07692308,18.46428571,8,4.264,22.51145038,11.83333333,27.06896552,40.82608696,72.77777778,20.46153846,0,6.098039216,16.61092715,12.26315789,20.04,26.0859375,30.98591549,22,2.4,5.036866359,0,0,0,0,0,0
Colorado,7.443298969,5.6,10.28947368,12.97368421,23.23529412,20.42857143,0,0.045454545,6.8,0,0,5,9,0,0,0,7.194029851,14,8.176470588,11.84615385,18.85714286,14.66666667,0,0.12,9,5,12,13.5,39,0,0,0,7.349514563,2.666666667,11.29411765,14.47368421,26.875,17.5,0,0.019230769,0,0,0,0,0,0
Connecticut,7.708955224,7.5,13.5625,22.4,14,27.85714286,0,0.287671233,5.8,0,0,4,5,5,0,0,5.875,5,7.571428571,14,7.888888889,28,0,0.272727273,25.875,0,46,73,25,17.5,0,3.5,7.054794521,6,14,31.4,21.28571429,49.5,0,0.163265306,0,0,0,0,0,0
Delaware,5.453125,2,4.916666667,6.5,6.181818182,4.846153846,0,6.666666667,3,0,0,1,4,2,0,0,5.55,3,5.25,5,7.333333333,3.5,0,15,7.222222222,1,4.5,20,7,10,0,6.5,5.125,0,4.666666667,6.25,5.6,6,0,4.5,0,0,0,0,0,0
District of Columbia,10.20689655,0,10.42857143,23.25,68,50,0,1.266666667,0,0,0,0,0,0,0,0,5.666666667,0,3.2,20,0,15,0,1.25,21.66666667,0,0,26,0,0,0,1.5,11.07142857,0,18,22,42,0,0,1.111111111,0,0,0,0,0,0
Florida,6.596096096,2.611111111,7.817518248,8.841463415,14.27848101,12.02272727,1,1.303482587,5.888888889,0,7.25,7.166666667,7.666666667,8,1,1.333333333,4.804979253,3.375,5.462962963,5.923076923,9.833333333,5.272727273,0.333333333,1.033898305,11.49295775,2.833333333,9.526315789,11.77272727,30,39.33333333,0,4.357142857,6.883928571,2.227272727,9.433333333,10.74647887,15.38461538,15.94444444,1,1.088,0,0,0,0,0,0
Georgia,13.06940063,3.733333333,17.50909091,21.68852459,45.73076923,19.27586207,5,1.170542636,14.77777778,0,14.5,23.5,0,11,0,2,8.861788618,4,9.68,13.46428571,23,14,2.5,0.829268293,21.68571429,3.666666667,20,25.77777778,222,56,0,2,14.40666667,4.142857143,26.94736842,30.31818182,52.91666667,19,0,1.213333333,0,0,0,0,0,0
Hawaii,11.38,9,11.07692308,30.5,43.25,7.8,1,1.263157895,5.2,0,3,0,0,5,0,0,12.26666667,7,8.8,59,26.5,17,0,1.8,26.4,5,15,48,0,3,0,0,9.08,0,16,16.75,37.5,7,1,0.5,0,0,0,0,0,0
Idaho,3.94,0,3.615384615,5.636363636,11.2,5.2,0,0.2,0,0,0,0,0,0,0,0,2.5,0,1.5,4.8,3.2,5,0,0.142857143,2.5,0,1.5,1.666666667,0,0,0,0,6.277777778,0,6.4,10.66666667,0,5,0,0.285714286,0,0,0,0,0,0
Illinois,7.475915222,5.214285714,8.193877551,13.83529412,13.34782609,17.95454545,11,0.893203883,5.176470588,0,3,6.25,0,5,0,1,6.50310559,3.25,5.945945946,9.342857143,12.72222222,16.91666667,7,1.04,10.23076923,14,9.125,32,9.375,24,4,1.631578947,7.536231884,6.4,10.74358974,15.8,14.88571429,19.22727273,22,0.731343284,0,0,0,0,0,0
Indiana,5.2,0.916666667,2.422222222,3.738095238,6.357142857,6,0.75,8.020618557,6,0,0.666666667,0,3,0,0,0,3.965909091,0.6,1.823529412,1.947368421,2.5,4.714285714,0,8.423076923,6.483870968,0.333333333,4,4,5.25,8,1,12.5,5.761904762,1.75,2.857142857,5.647058824,13.22222222,5.833333333,1,6.868852459,0,0,0,0,0,0
Iowa,5.076923077,1.666666667,6.5,12.58333333,11.45454545,11.375,0,0.075,0,0,0,0,0,0,0,0,4.111111111,0.75,3.222222222,10.5,8.4,6.2,0,0.222222222,6.8,4,14,12,0,10,0,0,5.311111111,3,11.5,13.33333333,11,25,0,0.038461538,0,0,0,0,0,0
Kansas,3.564516129,0.857142857,2.461538462,3.391304348,5.176470588,4.111111111,0,4.292682927,2,0,0,1,0,0,0,1,3.382978723,1,1.692307692,3.625,5.4,3.75,0,4.266666667,3.928571429,0,2.666666667,11,3.333333333,4,0,6,3.728813559,1.333333333,3,2.846153846,5.666666667,4,0,4.380952381,0,0,0,0,0,0
Kentucky,4.850649351,1.5,3.709677419,4,13.35714286,4.1875,0,5.458333333,4.666666667,0,0,2,0,0.5,0,0,4.666666667,1.5,2.642857143,3.2,12.4,3.5,0,9.111111111,7.466666667,0,17,3,7.75,11,0,10,4.505882353,0.666666667,3.5625,5.1875,18.6,4.857142857,0,3.857142857,0,0,0,0,0,0
Louisiana,9.62195122,6.4,9.171428571,10.36956522,19.125,23.38461538,1,0.325,5.75,0,6,12,8,2.333333333,0,0,7.228070175,0,4.588235294,7.235294118,13.4,23.66666667,0,0.222222222,16.11111111,4,16,15.83333333,36,13.75,0,6,10.24691358,4.5,13.91666667,11.22727273,23.7,57,0,0.166666667,0,0,0,0,0,0
Maine,2.903846154,0.5,4,6.25,4.5,6.5,0,0.47826087,0,0,0,0,0,0,0,0,2.5,0,3.75,3.6,3.5,6,0,0.428571429,2.833333333,0,6,0,0.5,3,0,0,3.125,0,3.5,8,8.5,11,0,0.571428571,0,0,0,0,0,0
Maryland,10,10.75,13.37142857,16.8,23.04,13.5483871,2.5,4.652892562,8.25,0,7,16,9,10,0,5.666666667,8.857142857,11,12,11.85714286,21.14285714,7.846153846,0,5.0625,16.5483871,0,22.25,16.55555556,25.75,19.75,0,12,9.288732394,7.333333333,12.89473684,21.3125,24.30769231,17.61538462,1,3.473684211,0,0,0,0,0,0
Massachusetts,10.94042553,6.166666667,13.26829268,21.44117647,17.74193548,16.13043478,1.5,3.744897959,21,1,18,0,8,0,0,0,9.725,4,9.0625,13.8125,14,12.22222222,0,5,20.05,0,27.25,50,23.66666667,56,0,6,9.984732824,6.666666667,13.6,23.875,21.61538462,14.69230769,0.5,2.78125,0,0,0,0,0,0
Michigan,6.503856041,2.230769231,5.422535211,10.58928571,10.39583333,7.979591837,0.666666667,4.595890411,6.888888889,0,5,5.5,7.5,0,0,0,5.602836879,4,4.307692308,6.807692308,9.222222222,6.142857143,0.333333333,4.622222222,8.571428571,5,6.416666667,12.42857143,18.4,6.111111111,0.5,8.307692308,6.621052632,2,6.033333333,15.14285714,9.826086957,10.31578947,2,3.909090909,0,0,0,0,0,0
Minnesota,7.621495327,11.8,13.8,13.61764706,16.56521739,30.3,0,0.169642857,7.833333333,1,8,5,8,0,0,0,7.426470588,10,10.63636364,12.54545455,11.8,13,0,0.346153846,10.53846154,0,27,11.14285714,17.33333333,45,0,0.416666667,7.061403509,11.5,13.86666667,16.92857143,24.375,142,0,0.067567568,0,0,0,0,0,0
Mississippi,13.29487179,1.3,6.391304348,30.375,21.66666667,26.85714286,0,15.94444444,13,0,0,0,0,5,0,0,11.11111111,2.5,3.8,24,17.75,26.5,0,14.5,29.71428571,1,15.5,49,57,37,0,54,11.97619048,1.166666667,6.545454545,29.25,17.85714286,31,0,12.90909091,0,0,0,0,0,0
Missouri,4.346007605,0.642857143,2.569444444,5.365384615,8.9,5.793103448,1,4.338709677,3.375,0,3,1.666666667,2,4,0,0,4.130434783,1.25,2.88,4.6,6.25,3.533333333,2,6,6.954545455,0,5,9.75,10.66666667,13.5,0,5,4.134751773,0.5,2,5.72,12,7.636363636,0.333333333,3.365853659,0,0,0,0,0,0
Montana,4.588235294,5,5,5.875,19.5,5.75,0,0.454545455,5,0,0,0,0,0,0,0,3.785714286,1,3,4.5,0,10,0,0.5,3.5,0,0,0,0,0,0,0,5.6,0,5.75,6.5,9.5,3.333333333,0,1.5,0,0,0,0,0,0
Nebraska,3.180555556,1,2.533333333,8.777777778,7.444444444,5,0,0.111111111,0,0,0,0,0,0,0,0,2.25,0,1,8,6.5,3.2,0,0,4.857142857,0,0,4,5.5,2,0,0,3.666666667,1,3.5,14.33333333,8.6,12.5,0,0.157894737,0,0,0,0,0,0
Nevada,3.806722689,1,2.976190476,7.636363636,8.166666667,2.6,0,1.086956522,12,0,3,0,0,0,0,0,4.642857143,0,3.444444444,7,10.33333333,8,0,0.8,5.461538462,0,3.714285714,14,11,1.666666667,0,0,3.116883117,1.666666667,2.6,6.769230769,6.375,1.7,0,1,0,0,0,0,0,0
New Hampshire,5.777777778,0,14.5,4.769230769,12.8,17.66666667,0,1.105263158,0,0,0,0,0,0,0,0,5.722222222,0,6.666666667,4.8,0,7,0,1.285714286,10,0,0,3.5,0,0,0,3,5.083333333,0,28,5,5.4,0,0,0.818181818,0,0,0,0,0,0
New Jersey,8.441358025,19.33333333,14.02272727,14.26315789,18.57575758,20.73684211,1,2.774390244,10.625,0,0,16,11,0,0,4.5,6.971698113,0,10.5625,10,8.611111111,14.875,0,2.69047619,11.5,0,14.57142857,18.88888889,28,32,0,3.263157895,8.5,7.333333333,15.42857143,16.28,36,22.44444444,1,2.646464646,0,0,0,0,0,0
New Mexico,9.90625,0,7.368421053,16.53846154,27.42857143,11.42857143,1,0.470588235,14,0,5,0,0,0,0,0,6.961538462,0,7.166666667,6,18,8,1,1,22.33333333,0,20,13,0,0,0,0,10.94117647,0,6.545454545,66,30,11.5,0,0.307692308,0,0,0,0,0,0
New York,11.40813253,9.947368421,23.79069767,24.01010101,26.1875,27.61904762,5,0.839541547,13.36842105,9,10.66666667,44,26.5,40,0,1,10.37435897,9.6,19.55555556,17.24324324,22.35,22.57142857,0,0.956521739,17.74025974,5.5,23.75,40.27272727,31.5,42.75,0,1.933333333,10.54155496,14.14285714,29.02702703,24.65306122,26.90625,27.52173913,2.75,0.63800905,0,0,0,0,0,0
North Carolina,8.03313253,2.736842105,8.073529412,12.79032258,15.67346939,18.65384615,9,0.710280374,4.214285714,1,4,2.833333333,6.5,13,0,2,7.242718447,3.4,7.95,11.1,9.409090909,16.375,0,0.678571429,11.37209302,7,6.785714286,19.375,20.71428571,21.75,0,1.666666667,7.98255814,2.25,9.129032258,14.25,22.38888889,19.53846154,4,0.579710145,0,0,0,0,0,0
North Dakota,5.896551724,4,13.5,18.5,15,17,0,2.80952381,0,0,0,0,0,0,0,0,6.333333333,1,0,14,0,3,0,3.5,4.5,0,0,0,3,0,0,1,5.666666667,0,7.5,19,18,0,0,2.571428571,0,0,0,0,0,0
Ohio,4.378787879,1.5,4.685393258,8.08974359,11.43137255,7.6875,0.142857143,0.289017341,5.153846154,0,3.333333333,6.75,14,7,0,0.333333333,3.303370787,1.142857143,2.857142857,5.705882353,6.956521739,4.952380952,0,0.285714286,8.921052632,1,12.5,7.416666667,53,16.5,0,0.692307692,4.416309013,1.625,5.578947368,11.46428571,12.12,8.80952381,0.2,0.240740741,0,0,0,0,0,0
Oklahoma,3.583333333,1.571428571,2.357142857,4.078947368,14.8,3.863636364,1,0.958333333,3.75,0,1.5,4,8,0,0,0,3.333333333,0.333333333,2.181818182,3.5,12.66666667,4.333333333,0,1.714285714,4.5625,2,1.857142857,7.333333333,25,3.5,0,2,3.518987342,3,2.681818182,4,15.4,3.714285714,0,0.5625,0,0,0,0,0,0
Oregon,3.973684211,2.4,5.5,8.631578947,11.8,3.888888889,2,0.020833333,4.5,0,3,0,0,0,0,0,2.804878049,1.666666667,4.833333333,5.142857143,9,2.666666667,1,0,4.384615385,2,3.2,6,0,1.5,0,0,4.689655172,5,7.3,11.66666667,10.5,6,0,0.035714286,0,0,0,0,0,0
Pennsylvania,7.07223114,4.823529412,5.705882353,8.09929078,15.77272727,11.125,2,3.922680412,11.28571429,2,9,9.5,21,10,0,31,6.618604651,2.875,5.5,6.413793103,23.26666667,8.172413793,2,3.816666667,9.506329114,13,7.473684211,8.954545455,11.78571429,22.16666667,0,7.058823529,6.584126984,6.285714286,5.214285714,9.385964912,13.85714286,11.92592593,2,3.284482759,0,0,0,0,0,0
Puerto Rico,5.767123288,12,3.838709677,7.9,15.875,3.4,0,0.5,3,0,0,0,0,0,0,0,6.6,0,4.222222222,7,20.5,4,0,1,3.2,0,4.333333333,2.75,3.5,0,0,0,6.047619048,6,3.578947368,10.77777778,19.25,6.5,0,0.428571429,0,0,0,0,0,0
